Q3 sales export - generated 2026-09-25,,,
order_id,order_date,region,product,unit_price,quantity,discount,revenue,customer_email,churned,refund_amount,currency,notes
10027,2025-04-08,north,Doohickey,$154.23,19,0%,2930.36,user73@example.com,no,0,USD,
10028,11/24/2025,WEST,Widget,$11.52,4,15%,39.18,user244@example.com,no,0,USD,
10029,2025-01-19,North ,Doohickey,$157.65,6,0%,945.91,user267@example.com,no,0,USD,
10030,2025-07-18,WEST,Gadget,$44.04,13,5%,543.86,user4@example.com,no,0,USD,
10031,06/25/2025,WEST,Gizmo,"$1,241.28",18,20%,17874.42,user64@example.com,no,0,USD,
10341,10/21/2025,North ,Doohickey,$139.20,4,15%,473.29,user172@example.com,no,0,USD,
10032,10/02/2025,North,Gadget,$52.61,8,15%,357.77,user259@example.com,no,0,USD,
10033,05/21/2025,WEST,Widget,$12.11,N/A,15%,20.58,user33@example.com,no,0,USD,
10034,03/13/2025,East,Gizmo,"$1,212.48",?,5%,2303.71,user253@example.com,yes,1412.68,USD,
10035,15 Oct 2025,north,Widget,$12.57,8,15%,85.45,user196@example.com,yes,52.24,USD,
10036,10/21/2025,North,Gadget,$52.50,10,5%,498.72,user194@example.com,yes,313.56,USD,
10037,2025-10-16,East,Widget,$12.54,18,0%,225.72,user276@example.com,no,0,USD,
10038,03/07/2025,East,Gizmo,"$1,148.90",14,15%,13671.95,user163@example.com,no,0,USD,
10039,08 Mar 2025,North,Widget,$12.79,7,15%,76.13,user100@example.com,no,0,USD,
10376,2025-07-02,WEST,Doohickey,$137.75,13,0%,1790.76,user272@example.com,no,0,USD,
10040,2025-07-01,south,Gadget,$49.80,8,0%,398.36,user299@example.com,no,0,USD,
10041,09/29/2025,East,Widget,$11.88,17,20%,161.52,user105@example.com,yes,114.10,USD,
10042,2025-03-11,North ,Gadget,$51.37,?,5%,829.66,user93@example.com,no,0,USD,
10043,2025-04-10,south,Doohickey,$161.72,20,10%,2910.95,user199@example.com,yes,1139.57,USD,
10044,04/13/2025,North,Widget,$12.61,14,15%,150.04,user103@example.com,no,0,USD,
10045,25 Jun 2025,WEST,Doohickey,$156.14,N/A,0%,1873.70,user37@example.com,no,0,USD,
10046,21 Sep 2025,WEST,Gizmo,"$1,093.07",4,0%,4372.27,user59@example.com,no,0,USD,
10047,18 Feb 2025,East,Gadget,$52.71,6,5%,300.43,user50@example.com,yes,288.77,USD,
10048,18 Apr 2025,North,Doohickey,$147.79,-,15%,1633.12,user103@example.com,no,0,USD,
10049,10 Apr 2025,North,Gadget,$46.65,14,15%,555.16,user44@example.com,yes,338.67,USD,
10050,06/24/2025,south,Gizmo,"$1,130.05",19,20%,17176.75,user82@example.com,no,0,USD,
10051,2025-08-10,East,Gizmo,"$1,296.00",5,10%,5832.02,user175@example.com,no,0,USD,
10052,24 Nov 2025,north,Doohickey,$135.32,16,0%,2165.09,user111@example.com,yes,905.83,USD,
10053,12 Sep 2025,N/A,Gizmo,"$1,212.47",19,5%,21885.06,user12@example.com,yes,6471.16,USD,
10054,25 Jul 2025,N/A,Widget,$13.10,20,0%,261.94,user51@example.com,yes,93.34,USD,
10055,09/18/2025,south,Doohickey,$162.17,9,10%,1313.57,user228@example.com,no,0,USD,
10056,2025-07-17,East,Widget,$12.92,-,20%,186.06,user254@example.com,no,0,USD,
10057,11/03/2025,north,Widget,$12.30,14,15%,146.39,user139@example.com,no,0,USD,
10058,22 Jan 2025,N/A,Doohickey,$135.42,10,0%,1354.20,user162@example.com,yes,1088.39,USD,
10059,2025-02-07,East,Gizmo,"$1,322.24",2,20%,2115.59,user125@example.com,no,0,USD,
10060,2025-08-28,WEST,Widget,$13.59,17,0%,231.08,user59@example.com,no,0,USD,
10061,01/27/2025,south,Widget,$12.39,20,15%,210.62,user227@example.com,no,0,USD,
10062,12/16/2025,East,Gadget,$48.97,14,15%,582.74,user66@example.com,no,0,USD,
10063,17 Sep 2025,north,Gadget,$48.03,16,0%,768.45,user290@example.com,no,0,USD,
10064,2025-12-01,North,Gadget,$45.02,9,5%,384.94,user32@example.com,no,0,USD,
10065,2025-02-22,south,Widget,$12.31,N/A,10%,99.74,user45@example.com,no,0,USD,
10066,09/03/2025,East,Gadget,$49.26,-,5%,842.32,user39@example.com,yes,400.07,USD,
10067,08/16/2025,N/A,Widget,$13.34,N/A,20%,160.14,user78@example.com,no,0,USD,
10068,04/05/2025,south,Doohickey,$144.76,5,20%,579.05,user166@example.com,no,0,USD,
10069,12/17/2025,North,Widget,$12.33,18,0%,221.94,user159@example.com,no,0,USD,
10070,12/22/2025,East,Gadget,$49.87,20,0%,997.46,user184@example.com,no,0,USD,
10071,01 Nov 2025,East,Doohickey,$144.67,12,0%,1736.08,user157@example.com,no,0,USD,
10072,2025-09-22,North,Gizmo,"$1,180.31",11,5%,12334.26,user203@example.com,yes,10642.23,USD,
10073,21 Mar 2025,East,Gizmo,"$1,172.76",7,20%,6567.46,user233@example.com,no,0,USD,
10074,10/18/2025,N/A,Doohickey,$150.47,1,5%,142.95,user298@example.com,no,0,USD,
10075,02/23/2025,East,Doohickey,$145.04,18,0%,2610.64,user217@example.com,yes,1846.51,USD,
10076,08/24/2025,North ,Gadget,$50.55,8,15%,343.72,user70@example.com,no,0,USD,
10077,2025-11-13,North ,Gizmo,"$1,277.92",-,20%,16357.40,user2@example.com,no,0,USD,
10078,09/26/2025,south,Gizmo,"$1,314.78",3,15%,3352.69,user216@example.com,no,0,USD,
10079,03/27/2025,north,Gadget,$52.71,8,5%,400.62,user31@example.com,yes,216.32,USD,
10080,2025-04-02,North,Gizmo,"$1,157.16",10,0%,11571.63,user247@example.com,no,0,USD,
10081,2025-10-29,East,Widget,$11.74,11,0%,129.18,user261@example.com,no,0,USD,
10082,09 Jun 2025,East,Gadget,$51.79,-,5%,737.97,user134@example.com,no,0,USD,
10083,02/17/2025,N/A,Gizmo,"$1,243.10",13,10%,14544.32,user112@example.com,no,0,USD,
10084,30 Jan 2025,North,Gadget,$50.83,-,20%,528.62,user242@example.com,no,0,USD,
10085,03/22/2025,north,Doohickey,$156.40,?,5%,2228.68,user265@example.com,yes,1019.49,USD,
10086,2025-10-20,East,Gadget,$48.15,-,10%,866.75,user66@example.com,yes,742.92,USD,
10087,03 Sep 2025,north,Widget,$12.79,12,10%,138.10,user97@example.com,no,0,USD,
10088,20 Jan 2025,East,Gizmo,"$1,272.29",7,0%,8906.05,user160@example.com,no,0,USD,
10089,28 Aug 2025,North ,Doohickey,$137.28,10,15%,1166.89,user72@example.com,no,0,USD,
10090,04 Mar 2025,N/A,Widget,$13.12,13,15%,144.94,user244@example.com,no,0,USD,
10091,16 Apr 2025,north,Gadget,$44.29,10,20%,354.30,user201@example.com,yes,248.80,USD,
10092,06/18/2025,East,Widget,$11.75,9,5%,100.46,user170@example.com,no,0,USD,
10093,09 Mar 2025,East,Gizmo,"$1,108.59",13,0%,14411.66,user99@example.com,no,0,USD,
10094,2025-04-27,N/A,Gizmo,"$1,226.84",N/A,15%,2085.63,user38@example.com,yes,624.20,USD,
10095,17 Mar 2025,North ,Doohickey,$139.17,?,20%,1558.72,user212@example.com,no,0,USD,
10096,06 May 2025,North,Widget,$13.00,13,20%,135.20,user170@example.com,no,0,USD,
10097,2025-07-13,north,Gadget,$49.45,-,10%,489.52,user53@example.com,no,0,USD,
10391,02/12/2025,WEST,Doohickey,$161.41,2,0%,322.82,user116@example.com,yes,309.41,USD,
10098,30 Jun 2025,East,Gadget,$51.87,9,20%,373.46,user102@example.com,no,0,USD,
10099,2025-02-12,N/A,Gadget,$49.22,19,0%,935.19,user171@example.com,no,0,USD,
10100,20 Aug 2025,south,Doohickey,$142.99,3,10%,386.06,user136@example.com,yes,356.43,USD,
10101,01/02/2025,North ,Gadget,$44.60,11,20%,392.46,user294@example.com,no,0,USD,
10102,2025-08-21,East,Doohickey,$152.93,6,5%,871.69,user196@example.com,no,0,USD,
10103,09/28/2025,North ,Widget,$12.28,6,5%,70.00,user68@example.com,yes,36.72,USD,
10104,20 Jan 2025,East,Doohickey,$162.95,8,20%,1042.89,user255@example.com,no,0,USD,
10105,19 Dec 2025,north,Widget,$12.28,16,10%,176.81,user238@example.com,no,0,USD,
10106,09/27/2025,N/A,Gizmo,"$1,220.39",14,0%,17085.48,user13@example.com,no,0,USD,
10107,12 Jul 2025,north,Doohickey,$156.77,?,10%,282.18,user36@example.com,no,0,USD,
10108,01/27/2025,WEST,Gadget,$45.53,4,15%,154.79,user157@example.com,no,0,USD,
10109,12/07/2025,N/A,Gizmo,"$1,324.78",8,0%,10598.21,user85@example.com,no,0,USD,
10110,2025-09-24,East,Gadget,$44.38,14,20%,497.03,user152@example.com,yes,313.16,USD,
10111,19 Aug 2025,North ,Gadget,$46.32,10,0%,463.18,user300@example.com,no,0,USD,
10112,06/07/2025,East,Gadget,$43.50,?,10%,78.30,user106@example.com,no,0,USD,
10113,07/01/2025,WEST,Gadget,$45.08,10,0%,450.77,user121@example.com,yes,319.28,USD,
10114,05/21/2025,East,Gadget,$46.14,2,0%,92.28,user228@example.com,no,0,USD,
10115,30 Dec 2025,WEST,Gizmo,"$1,137.83",3,5%,3242.81,user152@example.com,yes,1118.16,USD,
10116,04/28/2025,East,Doohickey,$161.53,12,20%,1550.72,user116@example.com,no,0,USD,
10117,2025-09-28,North,Doohickey,$148.88,5,0%,744.41,user146@example.com,no,0,USD,
10118,2025-04-08,North,Doohickey,$137.61,14,20%,1541.29,user78@example.com,yes,1213.53,USD,
10119,01/02/2025,North ,Widget,$13.54,20,15%,230.20,user248@example.com,yes,57.83,USD,
10120,17 Dec 2025,East,Widget,$12.51,17,10%,191.47,user85@example.com,no,0,USD,
10121,12 May 2025,WEST,Widget,$11.84,20,15%,201.25,user251@example.com,no,0,USD,
10122,02 Nov 2025,East,Gadget,$47.99,19,20%,729.45,user78@example.com,yes,407.55,USD,
10123,2025-05-15,WEST,Widget,$13.27,20,15%,225.51,user75@example.com,yes,208.79,USD,
10124,15 Nov 2025,north,Widget,$11.36,N/A,15%,96.52,user256@example.com,no,0,USD,
10125,12 Sep 2025,East,Widget,$12.20,17,5%,196.98,user162@example.com,no,0,USD,
10126,2025-01-22,East,Gizmo,"$1,252.36",15,10%,16906.80,user234@example.com,no,0,USD,
10127,02/16/2025,East,Widget,$12.27,1,5%,11.66,user40@example.com,no,0,USD,
10128,05/04/2025,WEST,Widget,$11.99,20,5%,227.80,user159@example.com,no,0,USD,
10129,2025-11-29,East,Doohickey,$136.19,20,5%,2587.61,user202@example.com,no,0,USD,
10130,2025-06-27,East,Gadget,$50.70,13,15%,560.25,user105@example.com,yes,358.36,USD,
10131,08/17/2025,East,Gizmo,"$1,196.72",-,20%,6701.64,user250@example.com,no,0,USD,
10132,05/22/2025,North,Gadget,$47.22,18,15%,722.53,user94@example.com,no,0,USD,
10133,04/22/2025,North ,Doohickey,$152.02,17,15%,2196.71,user124@example.com,yes,539.94,USD,
10134,07/15/2025,North,Widget,$13.35,1,10%,12.01,user202@example.com,no,0,USD,
10135,2025-03-07,East,Gadget,$45.00,16,0%,720.03,user70@example.com,yes,380.57,USD,
10136,04/15/2025,East,Doohickey,$154.99,11,15%,1449.11,user70@example.com,no,0,USD,
10137,26 Jun 2025,North,Gizmo,"$1,138.50",17,10%,17419.11,user248@example.com,yes,4050.86,USD,
10152,2025-10-16,N/A,Doohickey,$145.02,11,5%,1515.41,user65@example.com,no,0,USD,
10138,12/19/2025,North ,Widget,$13.55,10,0%,135.48,user133@example.com,no,0,USD,
10139,07/16/2025,north,Widget,$12.23,14,0%,171.24,user82@example.com,no,0,USD,
10140,2025-12-31,North ,Gizmo,"$1,269.13",?,15%,7551.34,user217@example.com,no,0,USD,
10141,07 Jun 2025,N/A,Gadget,$45.67,16,20%,584.54,user187@example.com,no,0,USD,
10142,10/27/2025,North ,Widget,$11.39,?,10%,133.22,user130@example.com,no,0,USD,
10143,10/17/2025,East,Widget,$12.12,1,0%,12.12,user241@example.com,no,0,USD,
10144,22 Oct 2025,south,Gizmo,"$1,314.03",20,10%,23652.49,user25@example.com,no,0,USD,
10145,08/26/2025,N/A,Gizmo,"$1,099.38",20,15%,18689.43,user70@example.com,no,0,USD,
10146,18 Mar 2025,WEST,Doohickey,$145.81,10,15%,1239.40,user267@example.com,yes,474.44,USD,
10147,29 Nov 2025,North ,Widget,$11.26,18,15%,172.26,user178@example.com,yes,147.93,USD,
10148,22 Jul 2025,East,Widget,$13.26,1,10%,11.94,user171@example.com,yes,4.22,USD,
10386,16 Feb 2025,East,Doohickey,$162.57,7,5%,1081.07,user26@example.com,no,0,USD,
10149,09 Dec 2025,WEST,Gizmo,"$1,173.07",19,10%,20059.46,user167@example.com,no,0,USD,
10150,22 Feb 2025,East,Gadget,$51.62,17,5%,833.72,user247@example.com,no,0,USD,
10151,01/28/2025,N/A,Widget,$13.42,6,20%,64.40,user129@example.com,no,0,USD,
10152,2025-10-16,N/A,Doohickey,$145.02,11,5%,1515.41,user65@example.com,no,0,USD,
10153,2025-05-30,North,Doohickey,$141.03,6,5%,803.85,user300@example.com,no,0,USD,
10154,07/23/2025,East,Gadget,$47.23,9,10%,382.53,user81@example.com,no,0,USD,
10155,03/03/2025,North,Widget,$11.97,-,5%,22.73,user278@example.com,no,0,USD,
10156,11/29/2025,N/A,Gizmo,"$1,100.28",N/A,10%,5941.52,user73@example.com,no,0,USD,
10157,2025-08-15,north,Gizmo,"$1,152.15",?,20%,6452.04,user250@example.com,no,0,USD,
10158,17 Oct 2025,north,Gizmo,"$1,162.02",4,5%,4415.67,user117@example.com,yes,3092.00,USD,
10159,2025-01-27,north,Widget,$12.16,16,5%,184.90,user41@example.com,yes,169.02,USD,
10160,04/14/2025,N/A,Widget,$12.46,6,10%,67.28,user287@example.com,no,0,USD,
10161,11/15/2025,north,Gizmo,"$1,135.83",-,0%,20444.95,user128@example.com,no,0,USD,
10162,28 Mar 2025,North ,Gizmo,"$1,126.41",19,0%,21401.83,user285@example.com,yes,5558.60,USD,
10163,02/02/2025,WEST,Doohickey,$148.98,N/A,20%,357.54,user254@example.com,yes,222.32,USD,
10164,02/21/2025,N/A,Gizmo,"$1,283.43",10,20%,10267.47,user13@example.com,no,0,USD,
10165,09 Jul 2025,North ,Widget,$11.82,19,5%,213.32,user231@example.com,no,0,USD,
10166,2025-11-01,WEST,Doohickey,$137.00,10,10%,1233.00,user93@example.com,no,0,USD,
10167,04/01/2025,North ,Gadget,$48.44,2,5%,92.04,user221@example.com,yes,28.93,USD,
10168,14 Jun 2025,WEST,Widget,$12.51,1,15%,10.63,user90@example.com,no,0,USD,
10169,08/09/2025,WEST,Doohickey,$138.25,3,20%,331.80,user210@example.com,no,0,USD,
10170,2025-06-14,North,Gadget,$49.70,9,0%,447.31,user194@example.com,no,0,USD,
10171,11/18/2025,south,Widget,$12.79,7,20%,71.63,user233@example.com,no,0,USD,
10172,12 Jul 2025,North,Gizmo,"$1,285.59",15,15%,16391.25,user17@example.com,no,0,USD,
10173,2025-06-16,North ,Gizmo,"$1,226.99",15,10%,16564.39,user161@example.com,no,0,USD,
10174,03/06/2025,East,Gadget,$47.06,-,20%,602.37,user59@example.com,yes,210.55,USD,
10175,20 Jan 2025,North ,Widget,$13.73,17,10%,210.13,user107@example.com,no,0,USD,
10176,2025-05-03,East,Widget,$12.47,?,5%,165.89,user124@example.com,yes,91.63,USD,
10177,2025-02-03,East,Widget,$13.18,16,0%,210.83,user171@example.com,no,0,USD,
10178,04 Apr 2025,East,Widget,$13.33,?,5%,152.02,user251@example.com,no,0,USD,
10179,11 Apr 2025,N/A,Widget,$12.58,3,5%,35.85,user8@example.com,no,0,USD,
10180,2025-04-18,East,Doohickey,$154.75,11,10%,1532.01,user298@example.com,no,0,USD,
10181,26 Jun 2025,north,Gizmo,"$1,151.08",2,5%,2187.05,user5@example.com,no,0,USD,
10182,2025-04-13,North ,Widget,$13.43,-,10%,84.58,user210@example.com,yes,34.91,USD,
10231,2025-01-12,south,Doohickey,$152.23,20,20%,2435.65,user261@example.com,no,0,USD,
10183,27 Jun 2025,WEST,Doohickey,$150.19,15,5%,2140.27,user297@example.com,no,0,USD,
10184,10 Feb 2025,WEST,Widget,$13.43,?,0%,134.32,user245@example.com,no,0,USD,
10185,02/02/2025,north,Gizmo,"$1,228.89",7,15%,7311.92,user226@example.com,no,0,USD,
10186,07/30/2025,north,Doohickey,$155.16,10,0%,1551.62,user216@example.com,yes,1421.74,USD,
10187,2025-10-30,south,Doohickey,$159.62,11,0%,1755.77,user108@example.com,no,0,USD,
10188,09 Dec 2025,North,Widget,$12.19,12,0%,146.23,user80@example.com,no,0,USD,
10189,03 Sep 2025,North,Gizmo,"$1,125.10",3,10%,3037.78,user11@example.com,no,0,USD,
10190,2025-01-30,N/A,Gizmo,"$1,240.63",N/A,5%,16500.32,user112@example.com,no,0,USD,
10191,19 Feb 2025,North,Gadget,$51.17,16,10%,736.87,user130@example.com,no,0,USD,
10192,2025-07-07,south,Gizmo,"$1,196.95",N/A,15%,4069.63,user49@example.com,yes,2158.35,USD,
10193,08 Mar 2025,north,Doohickey,$138.74,17,20%,1886.83,user126@example.com,yes,1150.52,USD,
10194,10/29/2025,East,Gadget,$47.68,-,15%,769.99,user54@example.com,yes,218.37,USD,
10195,10 Nov 2025,N/A,Gadget,$48.24,-,20%,192.96,user6@example.com,no,0,USD,
10196,03/22/2025,North,Gadget,$50.25,5,0%,251.25,user57@example.com,no,0,USD,
10197,01/24/2025,south,Gizmo,"$1,238.96",10,20%,9911.68,user134@example.com,no,0,USD,
10198,2025-10-14,south,Widget,$13.49,14,10%,169.96,user154@example.com,no,0,USD,
10199,09/02/2025,N/A,Doohickey,$141.60,20,10%,2548.83,user231@example.com,no,0,USD,
10200,09/28/2025,N/A,Widget,$13.34,-,10%,24.01,user115@example.com,no,0,USD,
10201,28 Apr 2025,East,Widget,$12.04,12,0%,144.43,user5@example.com,no,0,USD,
10202,10/31/2025,North ,Doohickey,$163.99,14,20%,73467.09,user189@example.com,no,0,USD,
10203,04/05/2025,North ,Doohickey,$157.88,7,20%,884.13,user48@example.com,yes,713.28,USD,
10204,06 Aug 2025,N/A,Gadget,$45.79,9,20%,329.71,user147@example.com,no,0,USD,
10205,2025-06-18,East,Widget,$13.71,N/A,15%,34.96,user147@example.com,no,0,USD,
10206,2025-10-10,North,Doohickey,$136.44,2,15%,231.95,user109@example.com,no,0,USD,
10207,2025-02-08,East,Widget,$12.09,16,15%,164.41,user72@example.com,no,0,USD,
10208,2025-02-06,North ,Gizmo,"$1,277.05",15,15%,16282.39,user281@example.com,no,0,USD,
10209,2025-10-14,WEST,Widget,$12.03,4,15%,40.89,user213@example.com,no,0,USD,
10210,05/21/2025,N/A,Doohickey,$160.18,?,5%,2739.04,user194@example.com,no,0,USD,
10211,09/19/2025,East,Gadget,$47.39,N/A,15%,644.54,user300@example.com,yes,511.68,USD,
10212,06/29/2025,N/A,Doohickey,$145.39,7,0%,1017.72,user295@example.com,no,0,USD,
10213,07/22/2025,north,Gizmo,"$1,119.66",12,20%,10748.77,user211@example.com,yes,6359.05,USD,
10214,05 May 2025,south,Widget,$13.26,9,0%,119.31,user93@example.com,yes,110.54,USD,
10215,06 Apr 2025,East,Gizmo,"$1,177.21",17,15%,17010.71,user181@example.com,yes,7573.84,USD,
10216,07/02/2025,WEST,Gadget,$46.40,18,15%,709.88,user274@example.com,yes,587.25,USD,
10217,08 Jul 2025,south,Doohickey,$157.95,N/A,5%,600.20,user149@example.com,no,0,USD,
10218,10 May 2025,north,Doohickey,$145.74,4,5%,553.81,user68@example.com,no,0,USD,
10219,23 May 2025,East,Doohickey,$143.18,16,0%,2290.86,user46@example.com,yes,1172.30,USD,
10393,04 May 2025,East,Gizmo,"$1,215.23",9,0%,10937.05,user249@example.com,no,0,USD,
10220,01/28/2025,North ,Gadget,$50.64,18,20%,729.25,user278@example.com,no,0,USD,
10221,21 Apr 2025,North ,Gadget,$49.79,?,15%,677.11,user119@example.com,no,0,USD,
10222,02/06/2025,south,Widget,$12.69,?,0%,228.37,user290@example.com,no,0,USD,
10223,01 Feb 2025,East,Widget,$12.02,7,10%,75.75,user212@example.com,no,0,USD,
10224,2025-04-05,North ,Gadget,$43.94,17,20%,597.60,user256@example.com,no,0,USD,
10225,12/22/2025,south,Gadget,$44.54,4,15%,151.43,user154@example.com,yes,144.16,USD,
10226,2025-10-05,North,Doohickey,$156.06,11,5%,1630.85,user251@example.com,no,0,USD,
10227,2025-01-17,North,Doohickey,$158.08,6,0%,948.46,user17@example.com,yes,849.10,USD,
10228,2025-12-10,WEST,Gadget,$48.19,6,20%,231.31,user119@example.com,yes,58.83,USD,
10229,05/04/2025,North ,Gizmo,"$1,136.89",12,10%,12278.36,user181@example.com,yes,6087.04,USD,
10230,05/10/2025,North ,Gizmo,"$1,126.38",8,15%,7659.36,user122@example.com,no,0,USD,
10231,2025-01-12,south,Doohickey,$152.23,20,20%,2435.65,user261@example.com,no,0,USD,
10232,10 Feb 2025,WEST,Doohickey,$158.71,7,0%,1110.97,user112@example.com,no,0,USD,
10233,2025-07-02,N/A,Widget,$13.72,14,20%,153.71,user215@example.com,no,0,USD,
10234,31 Oct 2025,North,Gadget,$46.84,11,5%,489.51,user256@example.com,yes,479.47,USD,
10235,2025-02-04,WEST,Widget,$12.31,?,0%,160.06,user164@example.com,yes,95.12,USD,
10236,2025-01-22,WEST,Doohickey,$139.25,?,5%,661.45,user233@example.com,no,0,USD,
10237,2025-02-06,North,Doohickey,$162.71,12,0%,1952.55,user158@example.com,no,0,USD,
10238,04 Oct 2025,north,Doohickey,$138.68,6,20%,665.68,user42@example.com,no,0,USD,
10239,13 Dec 2025,south,Gadget,$52.05,1,0%,52.05,user248@example.com,yes,50.60,USD,
10240,2025-01-20,North,Gizmo,"$1,324.31",12,20%,12713.41,user300@example.com,yes,7313.68,USD,
10241,25 Jul 2025,North,Gizmo,"$1,151.93",18,0%,20734.67,user113@example.com,no,0,USD,
10242,04/04/2025,North,Gizmo,"$1,241.31",16,20%,15888.76,user134@example.com,yes,7045.84,USD,
10243,2025-07-02,N/A,Doohickey,$153.72,16,10%,2213.53,user277@example.com,no,0,USD,
10244,13 Dec 2025,East,Gizmo,"$1,312.76",9,10%,10633.36,user261@example.com,no,0,USD,
10245,22 Mar 2025,north,Doohickey,$142.05,6,10%,767.09,user50@example.com,no,0,USD,
10246,21 Sep 2025,North,Widget,$12.65,12,15%,129.01,user255@example.com,no,0,USD,
10247,2025-08-25,East,Gizmo,"$1,222.38",9,15%,9351.18,user74@example.com,yes,5592.02,USD,
10248,2025-01-26,N/A,Widget,$12.36,N/A,20%,88.97,user22@example.com,no,0,USD,
10249,2025-01-30,East,Doohickey,$138.07,7,20%,773.19,user149@example.com,no,0,USD,
10250,21 Apr 2025,north,Doohickey,$145.27,17,20%,1975.73,user66@example.com,no,0,USD,
10251,09/01/2025,North,Gadget,$50.89,?,10%,412.23,user12@example.com,no,0,USD,
10252,2025-11-26,East,Doohickey,$155.26,16,20%,1987.35,user133@example.com,no,0,USD,
10253,14 May 2025,East,Doohickey,$142.63,13,10%,1668.73,user30@example.com,no,0,USD,
10254,10/19/2025,East,Gizmo,"$1,273.24",14,15%,15151.59,user197@example.com,no,0,USD,
10255,2025-04-28,south,Doohickey,$161.51,2,0%,323.02,user79@example.com,no,0,USD,
10256,11/28/2025,south,Gizmo,"$1,149.79",11,15%,10750.50,user169@example.com,no,0,USD,
10257,06/05/2025,North ,Widget,$12.58,1,10%,11.32,user144@example.com,no,0,USD,
10258,28 Dec 2025,WEST,Gadget,$43.83,17,15%,633.38,user103@example.com,yes,510.03,USD,
10259,01/27/2025,N/A,Doohickey,$144.83,8,15%,984.81,user209@example.com,no,0,USD,
10260,12/18/2025,north,Gadget,$44.37,16,0%,709.93,user278@example.com,no,0,USD,
10261,30 Jan 2025,north,Gizmo,"$1,105.08",N/A,20%,884.06,user300@example.com,yes,566.71,USD,
10262,2025-08-10,WEST,Doohickey,$156.18,9,0%,1405.61,user29@example.com,no,0,USD,
10263,03/07/2025,WEST,Widget,$12.41,1,10%,11.17,user123@example.com,no,0,USD,
10264,29 Jan 2025,North,Gizmo,"$1,255.21",2,0%,2510.42,user38@example.com,no,0,USD,
10265,07 Sep 2025,south,Gizmo,"$1,109.49",15,20%,13313.90,user156@example.com,no,0,USD,
10266,04/09/2025,north,Widget,$12.69,8,20%,81.23,user107@example.com,yes,22.26,USD,
10267,2025-11-16,north,Doohickey,$148.59,14,5%,1976.26,user46@example.com,no,0,USD,
10032,10/02/2025,North,Gadget,$52.61,8,15%,357.77,user259@example.com,no,0,USD,
10268,09/16/2025,south,Gizmo,"$1,193.58",16,20%,15277.80,user117@example.com,no,0,USD,
10269,12/09/2025,north,Doohickey,$163.49,8,20%,1046.36,user44@example.com,no,0,USD,
10270,08/07/2025,N/A,Doohickey,$135.50,19,15%,2188.36,user101@example.com,yes,1102.54,USD,
